S.Triangulo Live,061047,"36,99"
C.Boyshort Live,054046,"23,99"
S.Angelete Lieve,063046,"54,99"
S.Toscana,064281,"56,99"
B.Toscana,053281,"23,99"
S.Roterdam,061339,"49,99"
C.Roterdam,056339,"28,99"
S.Vine,264099,"54,99"
B.Vine,213099,"26,99"
S.Silk Skim,067011,"56,99"
C.C.Silk Skin,056011,"21,99"
Fio-dental Silk Skin,051011,"19,99"
S.Sexy,264213,"44,99"
Fio-dental Sexy,211213,"20,99"
Bustie Vertigem,067858,"74,99"
Calça Baixa Tentadora,214010,"24,99"
S.Minueto,064032,"44,99"
Fio-dental Minueto,051032,"21,99"
S.Top Chaleur,064010,"59,99"
Fio-dental Intenção,051027,"22,99"
Fio-dental Lover,051839,"23,99"
Fio-dental Nupcial,051235,"23,99"
Fio-dental Desejo,051823,"22,99"
S. Top Lover,067839,"65,99"
S.Candy Baby,064291,"49,99"
C.Baixa Candy Baby,054291,"23,99"
Fio-dental Xamego,016198,"22,99"
Mascara Cabaret,070555,"19,99"
Liga-support,070068,"9,99"
Corselet Cabaret,043001,"89,99"
Bracelete Cabaret,070561,"19,99"
Dantelle 7/8,001630,"19,99"
S.Top Ermitage,064040,"49,99"
C.Classica Ermitage,057040,"27,99"
S.Top Videnza,061027,"59,99"
Fio-dental Videnza,051017,"19,99"
S.Desejo,067854,"56,99"
B.Bastille,053355,"23,99"
S.Biju,064285,"47,99"
S.Chantal,0264801,"47,99"
C.Short Chantal,0215801,"26,99"
S.Femme,0265017,"54,99"
B.Femme,0213017,"26,99"
S.Lousane,064086,"54,99"
S.Lucilia,067224,"56,99"
Cinta Fio-dental Lucilia,046024,"32,99"
S.Nova Gemma,067249,"59,99"
C.Cavada Citara,026065,"27,99"
S.Nupcial,064105,"46,99"
B.Nupcial,053105,"23,99"
S.Sensa,067237,"62,99"
Fio-dental Sensa,051246,"23,99"
S.Sisi,067162,"55,99"
C.Baixa Sisi,054162,"22,99"
S.Novo Rivali,067188,"56,99"
B.Vertigem,053188,"23,99"
S.Pointelle,067379,"54,99"
B.Pointelle,053379,"19,99"
S.Paraiso,063476,"49,99"
S.Idylle,063577,"52,99"
B.Idylle,053577,"23,99"
Top Joli,061290,"54,99"
Fio-dental Joli,051290,"23,99"
S.Xamego,061585,"42,99"
Fio-dental Desejo,051813,"22,99"
Top Biscult,061209,"34,99"
B.Biscult,053209,"20,99"
Top Purisme,261703,"39,99"
S.Copacabana,061083,"42,99"
Fio-dental Buque,051190,"22,99"
S.Caribdis,061332,"34,99"
B.Caribdis,053331,"23,99"
B.Natural Marilyn,067819,"56,99"
B.Extra Marilyn,069818,"56,99"
B.Intenção,067250,"74,99"
S.Decotado,063022,"63,99"
S.Invejja,067843,"56,99"
Super-up Miracle,069827,"56,99"
Super-up Danube,069003,"74,99"
B.Magic,053991,"49,99"
Bermuda Rendada Virtuel,094499,"42,99"
Bermuda Espumada Virtuel,094552,"69,99"
Bermuda Virtuel,094498,"39,99"
B.Virtuel,016498,"23,99"
C.Classica Virtuel,057498,"26,99"
S.Nadador Ulttraleve,061404,"34,99"
C.Cavada Ultraleve,056300,"27,99"
S.Ultraleve,061400,"34,99"
B.Ultraleve,053306,"23,99"
C.Alta Ultraleve,057401,"27,99"
Bustie Faixa Ultraleve,061900,"21,99"
C.Short Ultraleve,055601,"23,99"
S.Conforto Ultraleve Plus,061146,"34,99"
C.Alta Ultraleve,057401,"27,99"
S.Reforço Ultraleve Plus,061156,"49,99"
Short Modellare,094005,"59,99"
Bermuda Alta Modellare,094019,"79,99"
Cinta Fio-dental Ultraleve,046005,"39,99"
Cinta Ultraleve,046204,"39,99"
S.Carence,061347,"34,99"
Fio-dental Carence,051347,"18,99"
"S,Menthol",261812,"39,99"
B.Menthol,213812,"22,99"
S.Delfos,061389,"34,99"
B.Delfos,053388,"23,99"
S.Demillus Love,261139,"37,99"
B.Demillus Love,213139,"23,99"
Kit 3 Biquinis,K53300,"46,99"
Kit 2 Calças Cavadas,K56600,"42,99"
B.Grenade,053018,"21,99"
C.Cavada Grenade,056110,"25,99"
B.Cotton,053053,"23,99"
C.Cavada Lithos cotton,056014,"25,99"
C.Clássica Cotton,057051,"27,99"
C.Clássica Secret,057001,"27,99"
S.Secrete Coton,061052,"36,99"
