"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
sutia-bustie-faixa-ultraleve-demillus-061900;"Sutiã Bustiê Faixa Ultraleve DeMillus (061900)";Sutiãs;Tamanho;"UN ( 40-46 )";Cor;"pérola 14";;;23.99;;0.07;3.00;13.00;16.00;;061900;;SIM;NÃO;;"bustie, bustie sem aro, bustie sem bojo, bustie sem costura, bustie ultraleve, bustie ultraleve demillus, demillus, faixa, lingerie, lingerie demillus, sutia bustie, sutia faixa, sutias, ultraleve";"Sutiã Bustiê Faixa Ultraleve DeMillus";"Sutiâ Bustiê Faixa Ultraleve DeMillus, modelagem confortável, sem aro, sem espuma e sem fecho. Aderência e leveza com conforto. Compre lingerie DeMillus na Queromania.shop";DeMillus;SIM;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"marinho 15";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"preto 27";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"vinho barolo 50";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"bege-rosado 55";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"azul-bebê 74";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"uva 82";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
sutia-bustie-faixa-ultraleve-demillus-061900;;;Tamanho;"UN ( 40-46 )";Cor;"salmão 87";;;23.99;;0.07;3.00;13.00;16.00;;061900;;;;;;;;;;061900;Feminino;Adulto;
calcinha-biquini-ultraleve-demillus-053306;"Calcinha Biquíni Ultraleve DeMillus (053306)";Calcinhas;Tamanho;"UN ( PP-GR )";Cor;"pérola 14";;;25.99;;0.07;3.00;12.00;16.00;;053306;;SIM;NÃO;;"biquini, calcinha basica, calcinha basica demillus, calcinha biquini cintura baixa, calcinha biquini demillus, calcinha biquini ulttraleve, calcinha bronze, calcinha nude, calcinha ultraleve, calcinhas, ultraleve";"Calcinha Biquíni Ultraleve DeMillus";"Calcinha Biquíni Ultraleve. Cintura baixa. Sem costura. Nas cores vermelho, azul, azul marinho, branco, verde, preto, amarelo, bege, salmão, rosa.";DeMillus;SIM;053306;Feminino;Adulto;
calcinha-biquini-ultraleve-demillus-053306;;;Tamanho;"UN ( PP-GR )";Cor;"marinho 15";;;25.99;;0.07;3.00;12.00;16.00;;053306;;;;;;;;;;053306;Feminino;Adulto;
calcinha-biquini-ultraleve-demillus-053306;;;Tamanho;"UN ( PP-GR )";Cor;"preto 27";;;25.99;;0.07;3.00;12.00;16.00;;053306;;;;;;;;;;053306;Feminino;Adulto;
calcinha-biquini-ultraleve-demillus-053306;;;Tamanho;"UN ( PP-GR )";Cor;"vinho barolo 50";;;25.99;;0.07;3.00;12.00;16.00;;053306;;;;;;;;;;053306;Feminino;Adulto;
calcinha-biquini-ultraleve-demillus-053306;;;Tamanho;"UN ( PP-GR )";Cor;"bege-rosado 55";;;25.99;;0.07;3.00;12.00;16.00;;053306;;;;;;;;;;053306;Feminino;Adulto;
